,0
0.0,0.0
1.47015e-07,0.01
2.3049599999999997e-06,0.02
1.1431934999999997e-05,0.03
3.538944e-05,0.04
8.460937500000001e-05,0.05
0.00017177183999999996,0.06
0.0003114937350000001,0.07
0.00052002816,0.08
0.0008149746149999999,0.09
0.0012150000000000004,0.1
0.001739570415,0.11
0.0024086937599999995,0.12
0.0032426731350000005,0.13
0.004261871040000001,0.14
0.005486484375,0.15
0.006936330239999998,0.16
0.008630642535000004,0.17
0.01058787936,0.18
0.012825541215000003,0.19
0.015360000000000006,0.2
0.018206338815,0.21
0.021378202560000004,0.22
0.024887659335000003,0.23
0.028745072639999994,0.24
0.032958984375,0.25
0.03753600864,0.26
0.042480736335,0.27
0.04779565056000002,0.28
0.053481052814999985,0.29
0.05953499999999999,0.3
0.06595325221499998,0.31
0.07272923135999998,0.32
0.07985399053499999,0.33
0.08731619424,0.34
0.09510210937500001,0.35000000000000003
0.10319560703999998,0.36
0.111578175135,0.37
0.12022894176000001,0.38
0.129124709415,0.39
0.13824000000000003,0.4
0.14754711061500003,0.41000000000000003
0.15701618016000002,0.42
0.16661526673500002,0.43
0.17631043584000003,0.44
0.18606585937500003,0.45
0.19584392544000004,0.46
0.20560535893500007,0.47000000000000003
0.21530935295999998,0.48
0.22491371101499996,0.49
0.234375,0.5
0.243648714015,0.51
0.25268944896,0.52
0.26145108793500005,0.53
0.26988699744,0.54
0.277950234375,0.55
0.28559376384000007,0.56
0.2927706877350001,0.5700000000000001
0.29943448415999996,0.58
0.30553925761499995,0.59
0.31104000000000004,0.6
0.3158928624149999,0.61
0.32005543775999995,0.62
0.323487054135,0.63
0.32614907903999996,0.64
0.32800523437500007,0.65
0.32902192224,0.66
0.329168561535,0.67
0.32841793536,0.68
0.32674654921499996,0.6900000000000001
0.32413499999999995,0.7000000000000001
0.32056835581500004,0.71
0.31603654655999996,0.72
0.31053476533499996,0.73
0.30406388064,0.74
0.296630859375,0.75
0.28824920064,0.76
0.278939380335,0.77
0.26872930656,0.78
0.25765478581499995,0.79
0.24575999999999992,0.8
0.23309799421499994,0.81
0.21973117535999992,0.8200000000000001
0.20573182153499986,0.8300000000000001
0.19118260224000008,0.84
0.17617710937500003,0.85
0.16082039904,0.86
0.145229544135,0.87
0.12953419776,0.88
0.11387716741499998,0.89
0.09841499999999995,0.9
0.08331857761499996,0.91
0.06877372415999994,0.92
0.054981822734999936,0.93
0.04216044383999992,0.9400000000000001
0.030543984374999927,0.9500000000000001
0.020384317440000032,0.96
0.011951452935000021,0.97
0.00553420896000001,0.98
0.0014408940150000026,0.99
0.0,1.0
